"project_id","sample_id","matrix","collect_date","lab_sample_id","sample_type","rec_date","anl_batch","prp_batch","extraction_code","extracted_date","analyte","cas_number","analyte_flag","analytical_method","result","resultflag","repdl","limit_definition","units","analytical_cut","initial_wt_vol","final_vol","amount_spiked","percent_recovered","rec_limit_low","rec_limit_high","initial_conc","sample_rpd","rpd_limit_low","rpd_limit_high","rep_sig_digs","allowable_limit","dissolved","analysis_group","method_order","analyte_order","loq","lod","dl","sdg","collect_time","rec_time","run_date","run_time","result_sample_fraction","epa_analysis_id","context_code","monitoring_location_id","sample_condition"
NA,"CB for HBN 1915349 (MMS/12783)","1",NA,"1835627","CB",2025-07-29,"MMS12783",NA,NA,NA,"Zinc","7440-66-6","N","200.8",0,"U",3,"LOD","ug/L",1,100,100,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,".","Metals by ICP/MS",15,32,4,3,1.24,"1253728",NA,12:00:00,2025-07-28,12:03:00,"Unfiltered","200.8","USEPA",NA,NA
NA,"CB for HBN 1915349 (MMS/12783)","1",NA,"1835629","CB",2025-07-29,"MMS12783",NA,NA,NA,"Calcium","7440-70-2","N","200.8",0,"U",150,"LOD","ug/L",1,100,100,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,".","Metals by ICP/MS",15,8,200,150,60,"1253728",NA,12:00:00,2025-07-28,12:30:00,"Unfiltered","200.8","USEPA",NA,NA
NA,"CB for HBN 1915349 (MMS/12783)","1",NA,"1835629","CB",2025-07-29,"MMS12783",NA,NA,NA,"Copper","7440-50-8","N","200.8",0,"U",0.9,"LOD","ug/L",1,100,100,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,".","Metals by ICP/MS",15,11,1.2,0.9,0.4,"1253728",NA,12:00:00,2025-07-28,12:30:00,"Unfiltered","200.8","USEPA",NA,NA
NA,"CB for HBN 1915349 (MMS/12783)","1",NA,"1835629","CB",2025-07-29,"MMS12783",NA,NA,NA,"Iron","7439-89-6","N","200.8",0,"U",75,"LOD","ug/L",1,100,100,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,".","Metals by ICP/MS",15,12,100,75,31.2,"1253728",NA,12:00:00,2025-07-28,12:30:00,"Unfiltered","200.8","USEPA",NA,NA
NA,"CB for HBN 1915349 (MMS/12783)","1",NA,"1835629","CB",2025-07-29,"MMS12783",NA,NA,NA,"Magnesium","7439-95-4","N","200.8",0,"U",15,"LOD","ug/L",1,100,100,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,".","Metals by ICP/MS",15,14,20,15,6,"1253728",NA,12:00:00,2025-07-28,12:30:00,"Unfiltered","200.8","USEPA",NA,NA
NA,"CB for HBN 1915349 (MMS/12783)","1",NA,"1835629","CB",2025-07-29,"MMS12783",NA,NA,NA,"Zinc","7440-66-6","N","200.8",0,"U",3,"LOD","ug/L",1,100,100,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,".","Metals by ICP/MS",15,32,4,3,1.24,"1253728",NA,12:00:00,2025-07-28,12:30:00,"Unfiltered","200.8","USEPA",NA,NA
NA,"CB for HBN 1915349 (MMS/12783)","1",NA,"1835630","CB",2025-07-29,"MMS12783",NA,NA,NA,"Calcium","7440-70-2","N","200.8",0,"U",150,"LOD","ug/L",1,100,100,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,".","Metals by ICP/MS",15,8,200,150,60,"1253728",NA,12:06:00,2025-07-28,13:53:00,"Unfiltered","200.8","USEPA",NA,NA
NA,"CB for HBN 1915349 (MMS/12783)","1",NA,"1835630","CB",2025-07-29,"MMS12783",NA,NA,NA,"Copper","7440-50-8","N","200.8",0,"U",0.9,"LOD","ug/L",1,100,100,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,".","Metals by ICP/MS",15,11,1.2,0.9,0.4,"1253728",NA,12:06:00,2025-07-28,13:53:00,"Unfiltered","200.8","USEPA",NA,NA
NA,"CB for HBN 1915349 (MMS/12783)","1",NA,"1835630","CB",2025-07-29,"MMS12783",NA,NA,NA,"Iron","7439-89-6","N","200.8",0,"U",75,"LOD","ug/L",1,100,100,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,".","Metals by ICP/MS",15,12,100,75,31.2,"1253728",NA,12:06:00,2025-07-28,13:53:00,"Unfiltered","200.8","USEPA",NA,NA
NA,"CB for HBN 1915349 (MMS/12783)","1",NA,"1835630","CB",2025-07-29,"MMS12783",NA,NA,NA,"Magnesium","7439-95-4","N","200.8",0,"U",15,"LOD","ug/L",1,100,100,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,".","Metals by ICP/MS",15,14,20,15,6,"1253728",NA,12:06:00,2025-07-28,13:53:00,"Unfiltered","200.8","USEPA",NA,NA
NA,"CB for HBN 1915349 (MMS/12783)","1",NA,"1835630","CB",2025-07-29,"MMS12783",NA,NA,NA,"Zinc","7440-66-6","N","200.8",0,"U",3,"LOD","ug/L",1,100,100,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,".","Metals by ICP/MS",15,32,4,3,1.24,"1253728",NA,12:06:00,2025-07-28,13:53:00,"Unfiltered","200.8","USEPA",NA,NA
NA,"CB for HBN 1915349 (MMS/12783)","1",NA,"1835633","CB",2025-07-29,"MMS12783",NA,NA,NA,"Calcium","7440-70-2","N","200.8",0,"U",150,"LOD","ug/L",1,100,100,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,".","Metals by ICP/MS",15,8,200,150,60,"1253728",NA,12:18:00,2025-07-28,14:34:00,"Unfiltered","200.8","USEPA",NA,NA
NA,"CB for HBN 1915349 (MMS/12783)","1",NA,"1835633","CB",2025-07-29,"MMS12783",NA,NA,NA,"Copper","7440-50-8","N","200.8",0,"U",0.9,"LOD","ug/L",1,100,100,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,".","Metals by ICP/MS",15,11,1.2,0.9,0.4,"1253728",NA,12:18:00,2025-07-28,14:34:00,"Unfiltered","200.8","USEPA",NA,NA
NA,"CB for HBN 1915349 (MMS/12783)","1",NA,"1835633","CB",2025-07-29,"MMS12783",NA,NA,NA,"Iron","7439-89-6","N","200.8",0,"U",75,"LOD","ug/L",1,100,100,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,".","Metals by ICP/MS",15,12,100,75,31.2,"1253728",NA,12:18:00,2025-07-28,14:34:00,"Unfiltered","200.8","USEPA",NA,NA
NA,"CB for HBN 1915349 (MMS/12783)","1",NA,"1835633","CB",2025-07-29,"MMS12783",NA,NA,NA,"Magnesium","7439-95-4","N","200.8",0,"U",15,"LOD","ug/L",1,100,100,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,".","Metals by ICP/MS",15,14,20,15,6,"1253728",NA,12:18:00,2025-07-28,14:34:00,"Unfiltered","200.8","USEPA",NA,NA
NA,"CB for HBN 1915349 (MMS/12783)","1",NA,"1835633","CB",2025-07-29,"MMS12783",NA,NA,NA,"Zinc","7440-66-6","N","200.8",0,"U",3,"LOD","ug/L",1,100,100,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,".","Metals by ICP/MS",15,32,4,3,1.24,"1253728",NA,12:18:00,2025-07-28,14:34:00,"Unfiltered","200.8","USEPA",NA,NA
NA,"CB for HBN 1915349 (MMS/12783)","1",NA,"1835635","CB",2025-07-29,"MMS12783",NA,NA,NA,"Calcium","7440-70-2","N","200.8",0,"U",150,"LOD","ug/L",1,100,100,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,".","Metals by ICP/MS",15,8,200,150,60,"1253728",NA,12:18:00,2025-07-28,14:59:00,"Unfiltered","200.8","USEPA",NA,NA
NA,"CB for HBN 1915349 (MMS/12783)","1",NA,"1835635","CB",2025-07-29,"MMS12783",NA,NA,NA,"Copper","7440-50-8","N","200.8",0,"U",0.9,"LOD","ug/L",1,100,100,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,".","Metals by ICP/MS",15,11,1.2,0.9,0.4,"1253728",NA,12:18:00,2025-07-28,14:59:00,"Unfiltered","200.8","USEPA",NA,NA
NA,"CB for HBN 1915349 (MMS/12783)","1",NA,"1835635","CB",2025-07-29,"MMS12783",NA,NA,NA,"Iron","7439-89-6","N","200.8",0,"U",75,"LOD","ug/L",1,100,100,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,".","Metals by ICP/MS",15,12,100,75,31.2,"1253728",NA,12:18:00,2025-07-28,14:59:00,"Unfiltered","200.8","USEPA",NA,NA
NA,"CB for HBN 1915349 (MMS/12783)","1",NA,"1835635","CB",2025-07-29,"MMS12783",NA,NA,NA,"Magnesium","7439-95-4","N","200.8",0,"U",15,"LOD","ug/L",1,100,100,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,".","Metals by ICP/MS",15,14,20,15,6,"1253728",NA,12:18:00,2025-07-28,14:59:00,"Unfiltered","200.8","USEPA",NA,NA
NA,"CB for HBN 1915349 (MMS/12783)","1",NA,"1835637","CB",2025-07-29,"MMS12783",NA,NA,NA,"Calcium","7440-70-2","N","200.8",0,"U",150,"LOD","ug/L",1,100,100,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,".","Metals by ICP/MS",15,8,200,150,60,"1253728",NA,12:19:00,2025-07-28,15:38:00,"Unfiltered","200.8","USEPA",NA,NA
NA,"CB for HBN 1915349 (MMS/12783)","1",NA,"1835637","CB",2025-07-29,"MMS12783",NA,NA,NA,"Copper","7440-50-8","N","200.8",0,"U",0.9,"LOD","ug/L",1,100,100,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,".","Metals by ICP/MS",15,11,1.2,0.9,0.4,"1253728",NA,12:19:00,2025-07-28,15:38:00,"Unfiltered","200.8","USEPA",NA,NA
NA,"CB for HBN 1915349 (MMS/12783)","1",NA,"1835637","CB",2025-07-29,"MMS12783",NA,NA,NA,"Iron","7439-89-6","N","200.8",0,"U",75,"LOD","ug/L",1,100,100,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,".","Metals by ICP/MS",15,12,100,75,31.2,"1253728",NA,12:19:00,2025-07-28,15:38:00,"Unfiltered","200.8","USEPA",NA,NA
NA,"CB for HBN 1915349 (MMS/12783)","1",NA,"1835637","CB",2025-07-29,"MMS12783",NA,NA,NA,"Magnesium","7439-95-4","N","200.8",0,"U",15,"LOD","ug/L",1,100,100,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,".","Metals by ICP/MS",15,14,20,15,6,"1253728",NA,12:19:00,2025-07-28,15:38:00,"Unfiltered","200.8","USEPA",NA,NA
NA,"CB for HBN 1915412 (MMS/12785)","1",NA,"1835962","CB",2025-07-30,"MMS12785",NA,NA,NA,"Arsenic","7440-38-2","N","200.8",0,"U",1.5,"LOD","ug/L",1,100,100,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,".","Metals by ICP/MS",15,3,2,1.5,0.6,"1253728",NA,12:52:00,2025-07-29,13:08:00,"Unfiltered","200.8","USEPA",NA,NA
NA,"CB for HBN 1915412 (MMS/12785)","1",NA,"1835962","CB",2025-07-30,"MMS12785",NA,NA,NA,"Cadmium","7440-43-9","N","200.8",0,"U",0.15,"LOD","ug/L",1,100,100,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,".","Metals by ICP/MS",15,7,0.2,0.15,0.06,"1253728",NA,12:52:00,2025-07-29,13:08:00,"Unfiltered","200.8","USEPA",NA,NA
NA,"CB for HBN 1915412 (MMS/12785)","1",NA,"1835962","CB",2025-07-30,"MMS12785",NA,NA,NA,"Chromium","7440-47-3","N","200.8",0,"U",1.5,"LOD","ug/L",1,100,100,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,".","Metals by ICP/MS",15,9,2,1.5,1,"1253728",NA,12:52:00,2025-07-29,13:08:00,"Unfiltered","200.8","USEPA",NA,NA
NA,"CB for HBN 1915412 (MMS/12785)","1",NA,"1835962","CB",2025-07-30,"MMS12785",NA,NA,NA,"Copper","7440-50-8","N","200.8",0,"U",0.9,"LOD","ug/L",1,100,100,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,".","Metals by ICP/MS",15,11,1.2,0.9,0.4,"1253728",NA,12:52:00,2025-07-29,13:08:00,"Unfiltered","200.8","USEPA",NA,NA
NA,"CB for HBN 1915412 (MMS/12785)","1",NA,"1835962","CB",2025-07-30,"MMS12785",NA,NA,NA,"Lead","7439-92-1","N","200.8",0,"U",0.6,"LOD","ug/L",1,100,100,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,".","Metals by ICP/MS",15,13,0.8,0.6,0.2,"1253728",NA,12:52:00,2025-07-29,13:08:00,"Unfiltered","200.8","USEPA",NA,NA
NA,"CB for HBN 1915412 (MMS/12785)","1",NA,"1835962","CB",2025-07-30,"MMS12785",NA,NA,NA,"Zinc","7440-66-6","N","200.8",0,"U",3,"LOD","ug/L",1,100,100,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,".","Metals by ICP/MS",15,32,4,3,1.24,"1253728",NA,12:52:00,2025-07-29,13:08:00,"Unfiltered","200.8","USEPA",NA,NA
NA,"CB for HBN 1915412 (MMS/12785)","1",NA,"1835966","CB",2025-07-30,"MMS12785",NA,NA,NA,"Arsenic","7440-38-2","N","200.8",0,"U",1.5,"LOD","ug/L",1,100,100,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,".","Metals by ICP/MS",15,3,2,1.5,0.6,"1253728",NA,13:48:00,2025-07-29,13:54:00,"Unfiltered","200.8","USEPA",NA,NA
NA,"CB for HBN 1915412 (MMS/12785)","1",NA,"1835966","CB",2025-07-30,"MMS12785",NA,NA,NA,"Cadmium","7440-43-9","N","200.8",0,"U",0.15,"LOD","ug/L",1,100,100,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,".","Metals by ICP/MS",15,7,0.2,0.15,0.06,"1253728",NA,13:48:00,2025-07-29,13:54:00,"Unfiltered","200.8","USEPA",NA,NA
NA,"CB for HBN 1915412 (MMS/12785)","1",NA,"1835966","CB",2025-07-30,"MMS12785",NA,NA,NA,"Chromium","7440-47-3","N","200.8",0,"U",1.5,"LOD","ug/L",1,100,100,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,".","Metals by ICP/MS",15,9,2,1.5,1,"1253728",NA,13:48:00,2025-07-29,13:54:00,"Unfiltered","200.8","USEPA",NA,NA
NA,"CB for HBN 1915412 (MMS/12785)","1",NA,"1835966","CB",2025-07-30,"MMS12785",NA,NA,NA,"Copper","7440-50-8","N","200.8",0,"U",0.9,"LOD","ug/L",1,100,100,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,".","Metals by ICP/MS",15,11,1.2,0.9,0.4,"1253728",NA,13:48:00,2025-07-29,13:54:00,"Unfiltered","200.8","USEPA",NA,NA
NA,"CB for HBN 1915412 (MMS/12785)","1",NA,"1835966","CB",2025-07-30,"MMS12785",NA,NA,NA,"Lead","7439-92-1","N","200.8",0,"U",0.6,"LOD","ug/L",1,100,100,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,".","Metals by ICP/MS",15,13,0.8,0.6,0.2,"1253728",NA,13:48:00,2025-07-29,13:54:00,"Unfiltered","200.8","USEPA",NA,NA
NA,"CB for HBN 1915412 (MMS/12785)","1",NA,"1835966","CB",2025-07-30,"MMS12785",NA,NA,NA,"Zinc","7440-66-6","N","200.8",0,"U",3,"LOD","ug/L",1,100,100,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,".","Metals by ICP/MS",15,32,4,3,1.24,"1253728",NA,13:48:00,2025-07-29,13:54:00,"Unfiltered","200.8","USEPA",NA,NA
NA,"CB for HBN 1915412 (MMS/12785)","1",NA,"1835968","CB",2025-07-30,"MMS12785",NA,NA,NA,"Arsenic","7440-38-2","N","200.8",0,"U",1.5,"LOD","ug/L",1,100,100,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,".","Metals by ICP/MS",15,3,2,1.5,0.6,"1253728",NA,13:48:00,2025-07-29,14:30:00,"Unfiltered","200.8","USEPA",NA,NA
NA,"CB for HBN 1915412 (MMS/12785)","1",NA,"1835968","CB",2025-07-30,"MMS12785",NA,NA,NA,"Cadmium","7440-43-9","N","200.8",0,"U",0.15,"LOD","ug/L",1,100,100,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,".","Metals by ICP/MS",15,7,0.2,0.15,0.06,"1253728",NA,13:48:00,2025-07-29,14:30:00,"Unfiltered","200.8","USEPA",NA,NA
NA,"CB for HBN 1915412 (MMS/12785)","1",NA,"1835968","CB",2025-07-30,"MMS12785",NA,NA,NA,"Chromium","7440-47-3","N","200.8",0,"U",1.5,"LOD","ug/L",1,100,100,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,".","Metals by ICP/MS",15,9,2,1.5,1,"1253728",NA,13:48:00,2025-07-29,14:30:00,"Unfiltered","200.8","USEPA",NA,NA
NA,"CB for HBN 1915412 (MMS/12785)","1",NA,"1835968","CB",2025-07-30,"MMS12785",NA,NA,NA,"Copper","7440-50-8","N","200.8",0,"U",0.9,"LOD","ug/L",1,100,100,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,".","Metals by ICP/MS",15,11,1.2,0.9,0.4,"1253728",NA,13:48:00,2025-07-29,14:30:00,"Unfiltered","200.8","USEPA",NA,NA
NA,"CB for HBN 1915412 (MMS/12785)","1",NA,"1835968","CB",2025-07-30,"MMS12785",NA,NA,NA,"Lead","7439-92-1","N","200.8",0,"U",0.6,"LOD","ug/L",1,100,100,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,".","Metals by ICP/MS",15,13,0.8,0.6,0.2,"1253728",NA,13:48:00,2025-07-29,14:30:00,"Unfiltered","200.8","USEPA",NA,NA
NA,"CB for HBN 1915412 (MMS/12785)","1",NA,"1835968","CB",2025-07-30,"MMS12785",NA,NA,NA,"Zinc","7440-66-6","N","200.8",0,"U",3,"LOD","ug/L",1,100,100,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,".","Metals by ICP/MS",15,32,4,3,1.24,"1253728",NA,13:48:00,2025-07-29,14:30:00,"Unfiltered","200.8","USEPA",NA,NA
NA,"CB for HBN 1915412 (MMS/12785)","1",NA,"1835970","CB",2025-07-30,"MMS12785",NA,NA,NA,"Arsenic","7440-38-2","N","200.8",0,"U",1.5,"LOD","ug/L",1,100,100,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,".","Metals by ICP/MS",15,3,2,1.5,0.6,"1253728",NA,13:48:00,2025-07-29,14:57:00,"Unfiltered","200.8","USEPA",NA,NA
NA,"CB for HBN 1915412 (MMS/12785)","1",NA,"1835970","CB",2025-07-30,"MMS12785",NA,NA,NA,"Cadmium","7440-43-9","N","200.8",0,"U",0.15,"LOD","ug/L",1,100,100,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,".","Metals by ICP/MS",15,7,0.2,0.15,0.06,"1253728",NA,13:48:00,2025-07-29,14:57:00,"Unfiltered","200.8","USEPA",NA,NA
NA,"CB for HBN 1915412 (MMS/12785)","1",NA,"1835970","CB",2025-07-30,"MMS12785",NA,NA,NA,"Chromium","7440-47-3","N","200.8",0,"U",1.5,"LOD","ug/L",1,100,100,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,".","Metals by ICP/MS",15,9,2,1.5,1,"1253728",NA,13:48:00,2025-07-29,14:57:00,"Unfiltered","200.8","USEPA",NA,NA
NA,"CB for HBN 1915412 (MMS/12785)","1",NA,"1835970","CB",2025-07-30,"MMS12785",NA,NA,NA,"Copper","7440-50-8","N","200.8",0,"U",0.9,"LOD","ug/L",1,100,100,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,".","Metals by ICP/MS",15,11,1.2,0.9,0.4,"1253728",NA,13:48:00,2025-07-29,14:57:00,"Unfiltered","200.8","USEPA",NA,NA
NA,"CB for HBN 1915412 (MMS/12785)","1",NA,"1835970","CB",2025-07-30,"MMS12785",NA,NA,NA,"Lead","7439-92-1","N","200.8",0,"U",0.6,"LOD","ug/L",1,100,100,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,".","Metals by ICP/MS",15,13,0.8,0.6,0.2,"1253728",NA,13:48:00,2025-07-29,14:57:00,"Unfiltered","200.8","USEPA",NA,NA
NA,"CB for HBN 1915412 (MMS/12785)","1",NA,"1835970","CB",2025-07-30,"MMS12785",NA,NA,NA,"Zinc","7440-66-6","N","200.8",0,"U",3,"LOD","ug/L",1,100,100,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,".","Metals by ICP/MS",15,32,4,3,1.24,"1253728",NA,13:48:00,2025-07-29,14:57:00,"Unfiltered","200.8","USEPA",NA,NA
NA,"CB for HBN 1915412 (MMS/12785)","1",NA,"1835972","CB",2025-07-30,"MMS12785",NA,NA,NA,"Arsenic","7440-38-2","N","200.8",0,"U",1.5,"LOD","ug/L",1,100,100,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,".","Metals by ICP/MS",15,3,2,1.5,0.6,"1253728",NA,13:50:00,2025-07-29,15:14:00,"Unfiltered","200.8","USEPA",NA,NA
NA,"CB for HBN 1915412 (MMS/12785)","1",NA,"1835972","CB",2025-07-30,"MMS12785",NA,NA,NA,"Cadmium","7440-43-9","N","200.8",0,"U",0.15,"LOD","ug/L",1,100,100,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,".","Metals by ICP/MS",15,7,0.2,0.15,0.06,"1253728",NA,13:50:00,2025-07-29,15:14:00,"Unfiltered","200.8","USEPA",NA,NA
